kind,lat,lon,name
warehouse,59.380437,17.725403,WH 1
warehouse,59.248617,17.865021,WH 2
warehouse,59.415543,18.184472,WH 3
warehouse,59.471870,17.769027,WH 4
warehouse,59.301755,17.728775,WH 5
locker,59.228218,18.063772,L 1
locker,59.158725,17.847852,L 2
locker,59.384220,18.091658,L 3
locker,59.228870,18.122881,L 4
locker,59.441936,17.712363,L 5
locker,59.440630,18.199575,L 6
locker,59.272211,17.817309,L 7
locker,59.495396,17.944892,L 8
locker,59.182676,17.775915,L 9
locker,59.455706,18.133068,L 10
locker,59.441103,18.221830,L 11
locker,59.343105,18.393277,L 12
locker,59.286060,18.096659,L 13
locker,59.449162,18.143489,L 14
locker,59.460847,18.114489,L 15
locker,59.404004,17.740065,L 16
locker,59.231568,17.911639,L 17
locker,59.177990,17.871770,L 18
locker,59.185663,17.903598,L 19
locker,59.379084,17.964784,L 20
locker,59.283038,17.855368,L 21
locker,59.245705,18.367593,L 22
locker,59.383552,18.136875,L 23
locker,59.211035,18.221404,L 24
locker,59.208236,17.975085,L 25
locker,59.507084,18.158620,L 26
locker,59.350601,18.190048,L 27
locker,59.454026,18.254423,L 28
locker,59.231983,17.730397,L 29
locker,59.263240,17.896390,L 30
locker,59.225448,18.371999,L 31
locker,59.466150,17.929454,L 32
locker,59.386230,17.986480,L 33
locker,59.479962,18.031014,L 34
locker,59.244946,17.881517,L 35
locker,59.352200,17.892868,L 36
locker,59.360599,18.340238,L 37
locker,59.293608,17.862281,L 38
locker,59.509984,18.066711,L 39
locker,59.182012,17.740975,L 40
locker,59.188791,18.149777,L 41
locker,59.435659,18.005167,L 42
locker,59.172107,17.976609,L 43
locker,59.509471,18.080509,L 44
locker,59.500412,18.314144,L 45
locker,59.153279,18.215483,L 46
locker,59.395733,18.086043,L 47
locker,59.245649,18.159298,L 48
locker,59.189480,18.014047,L 49
locker,59.313260,18.379681,L 50
locker,59.465964,17.893324,L 51
locker,59.330212,17.833633,L 52
locker,59.479268,18.321004,L 53
locker,59.257088,18.157880,L 54
locker,59.369420,17.815450,L 55
locker,59.424963,18.087740,L 56
locker,59.430793,18.081382,L 57
locker,59.149333,17.936130,L 58
locker,59.156171,18.362270,L 59
locker,59.467002,18.293635,L 60
